1,Doing other things
3,Pushing Two Fingers Away
6,Drumming Fingers
11,Sliding Two Fingers Down
14,Pushing Hand Away
17,Shaking Hand
20,Doing other things
28,Pulling Two Fingers In
31,Stop Sign
34,Zooming In With Two Fingers
36,Sliding Two Fingers Up
37,Zooming Out With Two Fingers
41,Shaking Hand
42,Sliding Two Fingers Up
46,Zooming In With Full Hand
50,No gesture
51,Swiping Right
55,Thumb Down
56,Rolling Hand Forward
58,Zooming Out With Two Fingers
59,Stop Sign
62,Sliding Two Fingers Up
66,Zooming In With Two Fingers
69,Sliding Two Fingers Up
70,No gesture
72,Pulling Two Fingers In
74,Zooming In With Two Fingers
75,Doing other things
76,Doing other things
79,Pushing Hand Away
85,Sliding Two Fingers Down
89,Sliding Two Fingers Up
92,Pulling Two Fingers In
94,Pulling Hand In
95,Swiping Right
100,Swiping Right
103,Zooming Out With Full Hand
104,Pulling Hand In
106,Pulling Two Fingers In
107,Swiping Left
109,Pushing Two Fingers Away
110,Zooming Out With Full Hand
112,Doing other things
118,Doing other things
121,Sliding Two Fingers Down
125,Doing other things
133,Rolling Hand Backward
137,Shaking Hand
138,Pushing Two Fingers Away
139,Pulling Two Fingers In
141,Stop Sign
145,Stop Sign
149,Swiping Right
150,Zooming Out With Full Hand
151,Turning Hand Counterclockwise
154,Zooming In With Two Fingers
155,Rolling Hand Forward
157,Swiping Up
159,Stop Sign
160,Thumb Down
161,No gesture
164,Turning Hand Counterclockwise
167,Zooming In With Full Hand
169,Swiping Left
171,Zooming In With Full Hand
173,Stop Sign
175,Turning Hand Clockwise
176,Sliding Two Fingers Left
179,Turning Hand Counterclockwise
184,Sliding Two Fingers Down
187,Doing other things
188,Zooming Out With Two Fingers
189,Pushing Two Fingers Away
193,Thumb Down
194,Zooming In With Full Hand
196,Swiping Down
197,Zooming In With Full Hand
198,Swiping Down
201,Rolling Hand Backward
205,Pulling Hand In
207,Stop Sign
212,Rolling Hand Forward
217,Swiping Up
220,No gesture
223,Sliding Two Fingers Up
227,Zooming Out With Two Fingers
232,Swiping Up
233,Drumming Fingers
235,Pulling Hand In
237,Pulling Hand In
238,Zooming In With Two Fingers
239,Zooming In With Two Fingers
242,Sliding Two Fingers Up
243,Pushing Two Fingers Away
246,Zooming Out With Two Fingers
248,Swiping Down
250,Swiping Up
252,Pulling Hand In
255,Zooming In With Two Fingers
258,Pushing Two Fingers Away
259,Sliding Two Fingers Left
263,Shaking Hand
270,Pulling Two Fingers In
274,Doing other things
275,Pushing Two Fingers Away
280,Sliding Two Fingers Up
287,Pulling Hand In
288,Zooming Out With Two Fingers
290,Turning Hand Counterclockwise
294,Drumming Fingers
297,Swiping Right
301,Rolling Hand Forward
302,Zooming Out With Full Hand
304,Thumb Down
305,Doing other things
306,Rolling Hand Backward
310,Thumb Up
312,Pushing Two Fingers Away
314,No gesture
316,Rolling Hand Forward
318,Pushing Two Fingers Away
321,Pulling Hand In
327,Swiping Left
330,Sliding Two Fingers Down
331,Thumb Down
332,Sliding Two Fingers Right
336,Swiping Up
339,Pushing Two Fingers Away
343,Swiping Right
347,Pulling Hand In
349,Zooming In With Full Hand
350,Doing other things
351,Swiping Right
357,Pushing Hand Away
361,Pushing Hand Away
368,Pulling Two Fingers In
369,Swiping Right
370,Doing other things
373,Swiping Right
381,Thumb Up
383,Sliding Two Fingers Left
385,No gesture
387,Turning Hand Counterclockwise
391,Zooming In With Two Fingers
396,Zooming In With Two Fingers
398,Pulling Two Fingers In
400,Turning Hand Clockwise
403,Zooming In With Two Fingers
405,Rolling Hand Backward
407,No gesture
408,Rolling Hand Backward
410,Zooming In With Full Hand
413,Swiping Down
414,Pulling Two Fingers In
415,Doing other things
419,Zooming In With Two Fingers
424,Swiping Right
429,Swiping Left
431,Zooming Out With Two Fingers
433,Zooming Out With Full Hand
439,Zooming In With Full Hand
440,Zooming In With Full Hand
443,Zooming In With Full Hand
447,Swiping Up
451,Pulling Hand In
452,Drumming Fingers
454,Swiping Up
456,No gesture
457,Doing other things
458,Pushing Two Fingers Away
464,Turning Hand Clockwise
465,Pushing Two Fingers Away
471,Zooming Out With Full Hand
474,Zooming Out With Full Hand
477,Swiping Left
478,Rolling Hand Backward
480,Turning Hand Clockwise
482,Pulling Hand In
484,Rolling Hand Backward
486,Rolling Hand Backward
487,Doing other things
489,Swiping Right
492,No gesture
497,Swiping Down
498,Drumming Fingers
499,Sliding Two Fingers Right
500,Zooming In With Full Hand
501,Rolling Hand Backward
502,Pulling Hand In
503,Drumming Fingers
504,No gesture
505,Swiping Down
511,Pulling Two Fingers In
517,Doing other things
521,Drumming Fingers
523,Pushing Hand Away
524,Thumb Down
526,Rolling Hand Forward
528,Rolling Hand Forward
529,Zooming Out With Full Hand
531,Thumb Down
533,Thumb Down
540,Zooming In With Two Fingers
542,Doing other things
543,Drumming Fingers
544,Turning Hand Counterclockwise
545,Doing other things
546,Drumming Fingers
547,Sliding Two Fingers Left
548,Sliding Two Fingers Right
549,Zooming In With Full Hand
550,Turning Hand Clockwise
551,Zooming Out With Full Hand
555,Zooming In With Full Hand
556,Drumming Fingers
557,Rolling Hand Forward
563,Pulling Two Fingers In
564,Sliding Two Fingers Left
566,Pulling Hand In
570,Drumming Fingers
573,Rolling Hand Forward
574,Zooming Out With Full Hand
577,Stop Sign
579,Swiping Left
580,Shaking Hand
586,Pulling Two Fingers In
590,Zooming Out With Full Hand
592,Doing other things
596,Sliding Two Fingers Left
597,Sliding Two Fingers Up
602,Swiping Left
607,Swiping Right
614,Turning Hand Clockwise
618,Pushing Hand Away
622,Stop Sign
623,Swiping Down
625,Drumming Fingers
626,Drumming Fingers
627,Pushing Two Fingers Away
631,Swiping Up
634,Rolling Hand Forward
636,Rolling Hand Forward
637,Zooming Out With Full Hand
638,Zooming Out With Two Fingers
640,Stop Sign
641,Stop Sign
643,Shaking Hand
647,Pulling Two Fingers In
649,Rolling Hand Backward
650,Turning Hand Clockwise
661,Thumb Down
664,Doing other things
669,No gesture
671,Zooming Out With Full Hand
674,Pulling Two Fingers In
675,Doing other things
681,Thumb Up
684,Swiping Up
686,Zooming Out With Full Hand
692,Doing other things
694,Shaking Hand
695,Zooming In With Two Fingers
696,Doing other things
698,Sliding Two Fingers Down
700,Doing other things
702,Sliding Two Fingers Up
710,Swiping Left
712,Sliding Two Fingers Right
714,Swiping Down
715,Swiping Left
717,Turning Hand Clockwise
718,Thumb Up
719,Shaking Hand
720,Swiping Right
721,Pulling Hand In
729,Sliding Two Fingers Left
730,Zooming Out With Two Fingers
732,Zooming Out With Two Fingers
735,Zooming Out With Two Fingers
736,Drumming Fingers
738,Sliding Two Fingers Down
739,Turning Hand Counterclockwise
740,Zooming Out With Two Fingers
744,Stop Sign
751,Doing other things
753,Drumming Fingers
754,Stop Sign
755,Stop Sign
756,Sliding Two Fingers Left
759,Thumb Up
761,Swiping Left
764,Zooming In With Full Hand
771,Rolling Hand Backward
772,Zooming Out With Two Fingers
779,Shaking Hand
784,Sliding Two Fingers Up
785,Pushing Two Fingers Away
786,Zooming In With Full Hand
795,Shaking Hand
796,Drumming Fingers
799,Stop Sign
800,Turning Hand Clockwise
801,Pulling Two Fingers In
803,Doing other things
806,Doing other things
811,Doing other things
819,Sliding Two Fingers Up
821,Thumb Down
823,Zooming Out With Two Fingers
828,Sliding Two Fingers Up
830,Sliding Two Fingers Up
831,Swiping Right
833,Sliding Two Fingers Right
835,Sliding Two Fingers Right
836,Doing other things
838,Zooming Out With Two Fingers
841,Zooming In With Full Hand
846,Sliding Two Fingers Up
852,No gesture
854,Swiping Left
860,Thumb Up
861,Zooming Out With Full Hand
863,Zooming Out With Two Fingers
872,Sliding Two Fingers Down
874,Swiping Right
875,Drumming Fingers
876,Stop Sign
878,Zooming In With Two Fingers
885,Swiping Up
887,Shaking Hand
888,Zooming In With Full Hand
889,Sliding Two Fingers Right
890,Thumb Up
891,Stop Sign
892,Doing other things
893,Zooming Out With Full Hand
894,Turning Hand Clockwise
895,Pulling Two Fingers In
896,Swiping Down
897,No gesture
899,Pulling Hand In
902,Sliding Two Fingers Right
907,Pulling Hand In
908,Sliding Two Fingers Right
909,Zooming Out With Full Hand
912,Thumb Up
914,Zooming In With Full Hand
917,Doing other things
921,Turning Hand Counterclockwise
923,Swiping Right
925,Stop Sign
927,Zooming Out With Two Fingers
928,Zooming In With Two Fingers
929,Doing other things
933,Zooming Out With Full Hand
936,No gesture
937,Sliding Two Fingers Up
939,Pulling Two Fingers In
940,Sliding Two Fingers Down
943,Pulling Hand In
944,Pushing Two Fingers Away
945,Turning Hand Counterclockwise
947,Swiping Left
949,Shaking Hand
952,No gesture
953,Swiping Up
955,Thumb Down
956,Thumb Down
958,Shaking Hand
961,Rolling Hand Forward
965,Sliding Two Fingers Up
966,Swiping Left
975,Doing other things
977,Swiping Down
993,Sliding Two Fingers Right
1000,Sliding Two Fingers Left
1002,Zooming Out With Two Fingers
1003,Swiping Left
1005,Pulling Hand In
1006,Zooming In With Full Hand
1007,Sliding Two Fingers Down
1009,Swiping Up
1011,Doing other things
1018,Swiping Up
1019,Swiping Right
1021,Turning Hand Counterclockwise
1022,Swiping Left
1026,Drumming Fingers
1028,Doing other things
1033,Swiping Down
1034,Doing other things
1036,Swiping Right
1037,Swiping Left
